Name,ISIN,Symbol,Market,Currency,Open Price,High Price,low Price,last Price,last Trade MIC Time,Time Zone,Volume,Turnover,Closing Price,Closing Price DateTime,Industry
MPC ENERGY SOLUTIO,NL0015268814,MPCES,Euronext Growth Oslo,NOK,"10,,10","10,,30","10,,10","10,,15",25/06/2025 13:59,CET,8187.0,"82778,,70","10,,15",26/06/2025,
MULTICONSULT,NO0010734338,MULTI,Oslo Børs,NOK,"197,,50","199,,50","196,,50","199,,00",26/06/2025 16:25,CET,12521.0,"2487623,,00","199,,00",26/06/2025,"['Research', 'Consulting Services']"
MÅSØVAL,NO0010974983,MAS,Euronext Growth Oslo,NOK,"23,,20","23,,20","20,,80","22,,10",26/06/2025 15:57,CET,10608.0,"228928,,60","22,,10",26/06/2025,
NAPATECH,DK0060520450,NAPA,Oslo Børs,NOK,"26,,35","26,,70","25,,30","25,,40",26/06/2025 16:25,CET,108982.0,"2816789,,15","25,,40",26/06/2025,"['Technology Hardware, Storage', 'Peripherals']"
NAVAMEDIC,NO0010205966,NAVA,Oslo Børs,NOK,"21,,60","21,,70","21,,20","21,,60",26/06/2025 16:25,CET,13587.0,"292447,,90","21,,60",26/06/2025,['Pharmaceuticals']
NEKKAR,NO0003049405,NKR,Oslo Børs,NOK,"10,,05","10,,20","10,,05","10,,20",26/06/2025 16:25,CET,6056.0,"61356,,70","10,,20",26/06/2025,
NEL,NO0010081235,NEL,Oslo Børs,NOK,"2,,43","2,,466","2,,42","2,,438",26/06/2025 16:25,CET,2261478.0,"5528452,,07","2,,438",26/06/2025,['Industrial Machinery']
NEXT BIOMETRICS GP,NO0010629108,NEXT,Oslo Børs,NOK,"4,,78","4,,82","4,,70","4,,75",26/06/2025 16:25,CET,194411.0,"920722,,11","4,,75",26/06/2025,"['Electronic Equipment', 'Instruments']"
NIDAROS SPAREBANK,NO0010733082,NISB,Euronext Growth Oslo,NOK,"106,,00","106,,00","106,,00","106,,00",26/06/2025 14:21,CET,13.0,"1378,,00","106,,00",26/06/2025,
NORAM DRILLING,NO0010360019,NORAM,Euronext Growth Oslo,NOK,"22,,75","23,,45","22,,15","22,,60",26/06/2025 16:25,CET,64951.0,"1460363,,30","22,,60",26/06/2025,
NORBIT,NO0010856511,NORBT,Oslo Børs,NOK,"208,,00","211,,50","205,,00","207,,00",26/06/2025 16:26,CET,338376.0,"70164469,,00","207,,00",26/06/2025,
NORCOD,NO0010892912,NCOD,Euronext Growth Oslo,NOK,"15,,50","15,,85","14,,30","15,,25",26/06/2025 11:00,CET,297.0,"4309,,00","15,,25",26/06/2025,
NORCONSULT,NO0013052209,NORCO,Oslo Børs,NOK,"44,,50","44,,55","44,,10","44,,35",26/06/2025 16:27,CET,323772.0,"14382283,,90","44,,35",26/06/2025,"['Construction', 'Engineering']"
NORDHEALTH A-AKSJE,NO0011002651,NORDH,Euronext Growth Oslo,NOK,"36,,00","36,,00","35,,40","35,,40",26/06/2025 16:25,CET,2611.0,"93807,,60","35,,40",26/06/2025,
NORDIC AQUA PART,NO0012928805,NOAP,Euronext Growth Oslo,NOK,"80,,00","80,,00","78,,60","78,,60",26/06/2025 16:26,CET,811.0,"63940,,60","78,,60",26/06/2025,
NORDIC FINANCIALS,NO0012958539,NOFIN,Euronext Expand Oslo,NOK,"0,,0185","0,,019","0,,0172","0,,018",26/06/2025 16:19,CET,17944717.0,"328743,,51","0,,018",26/06/2025,
NORDIC HALIBUT,NO0003058109,NOHAL,Euronext Growth Oslo,NOK,"19,,60","19,,60","19,,60","19,,60",26/06/2025 13:47,CET,500.0,"9800,,00","19,,60",26/06/2025,
NORDIC MINING,NO0013162693,NOM,Oslo Børs,NOK,"22,,85","23,,60","22,,55","23,,35",26/06/2025 16:27,CET,145043.0,"3367120,,55","23,,35",26/06/2025,
NORDIC SEMICONDUC,NO0003055501,NOD,Oslo Børs,NOK,"137,,40","139,,80","135,,40","136,,30",26/06/2025 16:25,CET,474473.0,"65141458,,10","136,,30",26/06/2025,['Semiconductors']
NORDIC TECHNOLOGY,NO0011018434,NTG,Euronext Growth Oslo,NOK,"1,,00","1,,00","1,,00","1,,00",26/06/2025 11:15,CET,100005.0,"100005,,00","1,,00",26/06/2025,
NORSE ATLANTIC,NO0012885252,NORSE,Euronext Expand Oslo,NOK,"7,,78","7,,84","7,,50","7,,80",26/06/2025 16:29,CET,352407.0,"2700953,,41","7,,80",26/06/2025,
NORSK HYDRO,NO0005052605,NHY,Oslo Børs,NOK,"55,,56","56,,90","55,,56","56,,84",26/06/2025 16:29,CET,4112148.0,"232101112,,44","56,,84",26/06/2025,['Aluminium']
NORSK TITANIUM,NO0010969108,NTI,Euronext Growth Oslo,NOK,"1,,778","1,,90","1,,73","1,,876",26/06/2025 16:25,CET,4231281.0,"7683895,,94","1,,876",26/06/2025,
NORSKE SKOG,NO0010861115,NSKOG,Oslo Børs,NOK,"21,,40","22,,50","21,,30","22,,40",26/06/2025 16:25,CET,214557.0,"4688811,,90","22,,40",26/06/2025,
